[*] Detected Video Port: 57919
[*] Detected Aux Port: 54294
[0010] [TS: 1773208133920630600] Client(57919) -> Proj(3621) | VIDEO EPRD | len=36 | hex=4550524430363030c0a8580200000000
[0011] [TS: 1773208133925161500] Client(54294) -> Proj(3621) | AUX EPRD | len=36 | hex=4550524430363030c0a8580200000000
[0013] [TS: 1773208135545375800] Client(54294) -> Proj(3621) | AUX DATA | len=5 | hex=c96c1c0000
[0014] [TS: 1773208135545472700] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=00000000000000000000000000000000
[0015] [TS: 1773208135545472700] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=00000000000000000000000000000000
[0016] [TS: 1773208135545472700] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=00000000000000000000000000000000
[0017] [TS: 1773208135545472700] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=00000000000000000000000000000000
[0018] [TS: 1773208135545472700] Client(54294) -> Proj(3621) | AUX DATA | len=1436 | hex=00000000000000000000000000000000
[0019] [TS: 1773208135596726400] Client(54294) -> Proj(3621) | AUX DATA | len=5 | hex=c9560a0000
[0020] [TS: 1773208135596839500] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=00000000000000000000000000000000
[0021] [TS: 1773208135596839500] Client(54294) -> Proj(3621) | AUX DATA | len=1186 | hex=00000000000000000000000000000000
[0022] [TS: 1773208135647177500] Client(54294) -> Proj(3621) | AUX DATA | len=5 | hex=c9e4060000
[0023] [TS: 1773208135647244900] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=00000000000000000000000000000000
[0024] [TS: 1773208135647244900] Client(54294) -> Proj(3621) | AUX DATA | len=304 | hex=00000000000000000000000000000000
[0025] [TS: 1773208135673517500] Client(57919) -> Proj(3621) | VIDEO EPRD | len=20 | hex=4550524430363030c0a8580200000000
[0026] [TS: 1773208135673587800] Client(57919) -> Proj(3621) | VIDEO DATA | len=46 | hex=cc0000000400030020200001ff00ff00
[0027] [TS: 1773208135673639800] Client(57919) -> Proj(3621) | VIDEO EPRD | len=20 | hex=4550524430363030c0a8580200000000
[0028] [TS: 1773208135673672500] Client(57919) -> Proj(3621) | VIDEO DATA | len=4 | hex=00000004
[0029] [TS: 1773208135673690500] Client(57919) -> Proj(3621) | VIDEO DATA | len=16 | hex=00000000027001a00000000790d48902
[0030] [TS: 1773208135673748700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ffd8ffe000104a464946000101000001
[0031] [TS: 1773208135673748700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=28a28a0028a28a0028a28a0028a28a00
[0032] [TS: 1773208135673748700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=50910162c47cc7827d6a449638d42af0
